pid,parch,sibsp,sex,port,class,age,agegroup,title,survived
1,0,1,m,S,3,22.0,young_adult,Mr,0
2,0,1,f,C,1,38.0,adult,Mrs,1
3,0,0,f,S,3,26.0,young_adult,Miss,1
4,0,1,f,S,1,35.0,adult,Mrs,1
5,0,0,m,S,3,35.0,adult,Mr,0
6,0,0,m,Q,3,,age_unknown,Mr,0
7,0,0,m,S,1,54.0,middle_aged,Mr,0
8,1,3,m,S,3,2.0,child,Master,0
9,2,0,f,S,3,27.0,young_adult,Mrs,1
10,0,1,f,C,2,14.0,adolecent,Mrs,1
11,1,1,f,S,3,4.0,child,Miss,1
12,0,0,f,S,1,58.0,middle_aged,Miss,1
13,0,0,m,S,3,20.0,young_adult,Mr,0
14,5,1,m,S,3,39.0,adult,Mr,0
15,0,0,f,S,3,14.0,adolecent,Miss,0
16,0,0,f,S,2,55.0,middle_aged,Mrs,1
17,1,4,m,Q,3,2.0,child,Master,0
18,0,0,m,S,2,,age_unknown,Mr,1
19,0,1,f,S,3,31.0,adult,Mrs,0
20,0,0,f,C,3,,age_unknown,Mrs,1
21,0,0,m,S,2,35.0,adult,Mr,0
22,0,0,m,S,2,34.0,adult,Mr,1
23,0,0,f,Q,3,15.0,adolecent,Miss,1
24,0,0,m,S,1,28.0,young_adult,Mr,1
25,1,3,f,S,3,8.0,child,Miss,0
26,5,1,f,S,3,38.0,adult,Mrs,1
27,0,0,m,C,3,,age_unknown,Mr,0
28,2,3,m,S,1,19.0,adolecent,Mr,0
29,0,0,f,Q,3,,age_unknown,Miss,1
30,0,0,m,S,3,,age_unknown,Mr,0
31,0,0,m,C,1,40.0,middle_aged,Don,0
32,0,1,f,C,1,,age_unknown,Mrs,1
33,0,0,f,Q,3,,age_unknown,Miss,1
34,0,0,m,S,2,66.0,early_old,Mr,0
35,0,1,m,C,1,28.0,young_adult,Mr,0
36,0,1,m,S,1,42.0,middle_aged,Mr,0
37,0,0,m,C,3,,age_unknown,Mr,1
38,0,0,m,S,3,21.0,young_adult,Mr,0
39,0,2,f,S,3,18.0,adolecent,Miss,0
40,0,1,f,C,3,14.0,adolecent,Miss,1
41,0,1,f,S,3,40.0,middle_aged,Mrs,0
42,0,1,f,S,2,27.0,young_adult,Mrs,0
43,0,0,m,C,3,,age_unknown,Mr,0
44,2,1,f,C,2,3.0,child,Miss,1
45,0,0,f,Q,3,19.0,adolecent,Miss,1
46,0,0,m,S,3,,age_unknown,Mr,0
47,0,1,m,Q,3,,age_unknown,Mr,0
48,0,0,f,Q,3,,age_unknown,Miss,1
49,0,2,m,C,3,,age_unknown,Mr,0
50,0,1,f,S,3,18.0,adolecent,Mrs,0
51,1,4,m,S,3,7.0,child,Master,0
52,0,0,m,S,3,21.0,young_adult,Mr,0
53,0,1,f,C,1,49.0,middle_aged,Mrs,1
54,0,1,f,S,2,29.0,young_adult,Mrs,1
55,1,0,m,C,1,65.0,early_old,Mr,0
56,0,0,m,S,1,,age_unknown,Mr,1
57,0,0,f,S,2,21.0,young_adult,Miss,1
58,0,0,m,C,3,28.5,young_adult,Mr,0
59,2,1,f,S,2,5.0,child,Miss,1
60,2,5,m,S,3,11.0,adolecent,Master,0
61,0,0,m,C,3,22.0,young_adult,Mr,0
62,0,0,f,N,1,38.0,adult,Miss,1
63,0,1,m,S,1,45.0,middle_aged,Mr,0
64,2,3,m,S,3,4.0,child,Master,0
65,0,0,m,C,1,,age_unknown,Mr,0
66,1,1,m,C,3,,age_unknown,Master,1
67,0,0,f,S,2,29.0,young_adult,Mrs,1
68,0,0,m,S,3,19.0,adolecent,Mr,0
69,2,4,f,S,3,17.0,adolecent,Miss,1
70,0,2,m,S,3,26.0,young_adult,Mr,0
71,0,0,m,S,2,32.0,adult,Mr,0
72,2,5,f,S,3,16.0,adolecent,Miss,0
73,0,0,m,S,2,21.0,young_adult,Mr,0
74,0,1,m,C,3,26.0,young_adult,Mr,0
75,0,0,m,S,3,32.0,adult,Mr,1
76,0,0,m,S,3,25.0,young_adult,Mr,0
77,0,0,m,S,3,,age_unknown,Mr,0
78,0,0,m,S,3,,age_unknown,Mr,0
79,2,0,m,S,2,0.83,infant,Master,1
80,0,0,f,S,3,30.0,adult,Miss,1
81,0,0,m,S,3,22.0,young_adult,Mr,0
82,0,0,m,S,3,29.0,young_adult,Mr,1
83,0,0,f,Q,3,,age_unknown,Miss,1
84,0,0,m,S,1,28.0,young_adult,Mr,0
85,0,0,f,S,2,17.0,adolecent,Miss,1
86,0,3,f,S,3,33.0,adult,Mrs,1
87,3,1,m,S,3,16.0,adolecent,Mr,0
88,0,0,m,S,3,,age_unknown,Mr,0
89,2,3,f,S,1,23.0,young_adult,Miss,1
90,0,0,m,S,3,24.0,young_adult,Mr,0
91,0,0,m,S,3,29.0,young_adult,Mr,0
92,0,0,m,S,3,20.0,young_adult,Mr,0
93,0,1,m,S,1,46.0,middle_aged,Mr,0
94,2,1,m,S,3,26.0,young_adult,Mr,0
95,0,0,m,S,3,59.0,middle_aged,Mr,0
96,0,0,m,S,3,,age_unknown,Mr,0
97,0,0,m,C,1,71.0,early_old,Mr,0
98,1,0,m,C,1,23.0,young_adult,Mr,1
99,1,0,f,S,2,34.0,adult,Mrs,1
100,0,1,m,S,2,34.0,adult,Mr,0
101,0,0,f,S,3,28.0,young_adult,Miss,0
102,0,0,m,S,3,,age_unknown,Mr,0
103,1,0,m,S,1,21.0,young_adult,Mr,0
104,0,0,m,S,3,33.0,adult,Mr,0
105,0,2,m,S,3,37.0,adult,Mr,0
106,0,0,m,S,3,28.0,young_adult,Mr,0
107,0,0,f,S,3,21.0,young_adult,Miss,1
108,0,0,m,S,3,,age_unknown,Mr,1
109,0,0,m,S,3,38.0,adult,Mr,0
110,0,1,f,Q,3,,age_unknown,Miss,1
111,0,0,m,S,1,47.0,middle_aged,Mr,0
112,0,1,f,C,3,14.5,adolecent,Miss,0
113,0,0,m,S,3,22.0,young_adult,Mr,0
114,0,1,f,S,3,20.0,young_adult,Miss,0
115,0,0,f,C,3,17.0,adolecent,Miss,0
116,0,0,m,S,3,21.0,young_adult,Mr,0
117,0,0,m,Q,3,70.5,early_old,Mr,0
118,0,1,m,S,2,29.0,young_adult,Mr,0
119,1,0,m,C,1,24.0,young_adult,Mr,0
120,2,4,f,S,3,2.0,child,Miss,0
121,0,2,m,S,2,21.0,young_adult,Mr,0
122,0,0,m,S,3,,age_unknown,Mr,0
123,0,1,m,C,2,32.5,adult,Mr,0
124,0,0,f,S,2,32.5,adult,Miss,1
125,1,0,m,S,1,54.0,middle_aged,Mr,0
126,0,1,m,C,3,12.0,adolecent,Master,1
127,0,0,m,Q,3,,age_unknown,Mr,0
128,0,0,m,S,3,24.0,young_adult,Mr,1
129,1,1,f,C,3,,age_unknown,Miss,1
130,0,0,m,S,3,45.0,middle_aged,Mr,0
131,0,0,m,C,3,33.0,adult,Mr,0
132,0,0,m,S,3,20.0,young_adult,Mr,0
133,0,1,f,S,3,47.0,middle_aged,Mrs,0
134,0,1,f,S,2,29.0,young_adult,Mrs,1
135,0,0,m,S,2,25.0,young_adult,Mr,0
136,0,0,m,C,2,23.0,young_adult,Mr,0
137,2,0,f,S,1,19.0,adolecent,Miss,1
138,0,1,m,S,1,37.0,adult,Mr,0
139,0,0,m,S,3,16.0,adolecent,Mr,0
140,0,0,m,C,1,24.0,young_adult,Mr,0
141,2,0,f,C,3,,age_unknown,Mrs,0
142,0,0,f,S,3,22.0,young_adult,Miss,1
143,0,1,f,S,3,24.0,young_adult,Mrs,1
144,0,0,m,Q,3,19.0,adolecent,Mr,0
145,0,0,m,S,2,18.0,adolecent,Mr,0
146,1,1,m,S,2,19.0,adolecent,Mr,0
147,0,0,m,S,3,27.0,young_adult,Mr,1
148,2,2,f,S,3,9.0,child,Miss,0
149,2,0,m,S,2,36.5,adult,Mr,0
150,0,0,m,S,2,42.0,middle_aged,Rev,0
151,0,0,m,S,2,51.0,middle_aged,Rev,0
152,0,1,f,S,1,22.0,young_adult,Mrs,1
153,0,0,m,S,3,55.5,middle_aged,Mr,0
154,2,0,m,S,3,40.5,middle_aged,Mr,0
155,0,0,m,S,3,,age_unknown,Mr,0
156,1,0,m,C,1,51.0,middle_aged,Mr,0
157,0,0,f,Q,3,16.0,adolecent,Miss,1
158,0,0,m,S,3,30.0,adult,Mr,0
159,0,0,m,S,3,,age_unknown,Mr,0
160,2,8,m,S,3,,age_unknown,Master,0
161,1,0,m,S,3,44.0,middle_aged,Mr,0
162,0,0,f,S,2,40.0,middle_aged,Mrs,1
163,0,0,m,S,3,26.0,young_adult,Mr,0
164,0,0,m,S,3,17.0,adolecent,Mr,0
165,1,4,m,S,3,1.0,infant,Master,0
166,2,0,m,S,3,9.0,child,Master,1
167,1,0,f,S,1,,age_unknown,Mrs,1
168,4,1,f,S,3,45.0,middle_aged,Mrs,0
169,0,0,m,S,1,,age_unknown,Mr,0
170,0,0,m,S,3,28.0,young_adult,Mr,0
171,0,0,m,S,1,61.0,early_old,Mr,0
172,1,4,m,Q,3,4.0,child,Master,0
173,1,1,f,S,3,1.0,infant,Miss,1
174,0,0,m,S,3,21.0,young_adult,Mr,0
175,0,0,m,C,1,56.0,middle_aged,Mr,0
176,1,1,m,S,3,18.0,adolecent,Mr,0
177,1,3,m,S,3,,age_unknown,Master,0
178,0,0,f,C,1,50.0,middle_aged,Miss,0
179,0,0,m,S,2,30.0,adult,Mr,0
180,0,0,m,S,3,36.0,adult,Mr,0
181,2,8,f,S,3,,age_unknown,Miss,0
182,0,0,m,C,2,,age_unknown,Mr,0
183,2,4,m,S,3,9.0,child,Master,0
184,1,2,m,S,2,1.0,infant,Master,1
185,2,0,f,S,3,4.0,child,Miss,1
186,0,0,m,S,1,,age_unknown,Mr,0
187,0,1,f,Q,3,,age_unknown,Mrs,1
188,0,0,m,S,1,45.0,middle_aged,Mr,1
189,1,1,m,Q,3,40.0,middle_aged,Mr,0
190,0,0,m,S,3,36.0,adult,Mr,0
191,0,0,f,S,2,32.0,adult,Mrs,1
192,0,0,m,S,2,19.0,adolecent,Mr,0
193,0,1,f,S,3,19.0,adolecent,Miss,1
194,1,1,m,S,2,3.0,child,Master,1
195,0,0,f,C,1,44.0,middle_aged,Mrs,1
196,0,0,f,C,1,58.0,middle_aged,Miss,1
197,0,0,m,Q,3,,age_unknown,Mr,0
198,1,0,m,S,3,42.0,middle_aged,Mr,0
199,0,0,f,Q,3,,age_unknown,Miss,1
200,0,0,f,S,2,24.0,young_adult,Miss,0
201,0,0,m,S,3,28.0,young_adult,Mr,0
202,2,8,m,S,3,,age_unknown,Mr,0
203,0,0,m,S,3,34.0,adult,Mr,0
204,0,0,m,C,3,45.5,middle_aged,Mr,0
205,0,0,m,S,3,18.0,adolecent,Mr,1
206,1,0,f,S,3,2.0,child,Miss,0
207,0,1,m,S,3,32.0,adult,Mr,0
208,0,0,m,C,3,26.0,young_adult,Mr,1
209,0,0,f,Q,3,16.0,adolecent,Miss,1
210,0,0,m,C,1,40.0,middle_aged,Mr,1
211,0,0,m,S,3,24.0,young_adult,Mr,0
212,0,0,f,S,2,35.0,adult,Miss,1
213,0,0,m,S,3,22.0,young_adult,Mr,0
214,0,0,m,S,2,30.0,adult,Mr,0
215,0,1,m,Q,3,,age_unknown,Mr,0
216,0,1,f,C,1,31.0,adult,Miss,1
217,0,0,f,S,3,27.0,young_adult,Miss,1
218,0,1,m,S,2,42.0,middle_aged,Mr,0
219,0,0,f,C,1,32.0,adult,Miss,1
220,0,0,m,S,2,30.0,adult,Mr,0
221,0,0,m,S,3,16.0,adolecent,Mr,1
222,0,0,m,S,2,27.0,young_adult,Mr,0
223,0,0,m,S,3,51.0,middle_aged,Mr,0
224,0,0,m,S,3,,age_unknown,Mr,0
225,0,1,m,S,1,38.0,adult,Mr,1
226,0,0,m,S,3,22.0,young_adult,Mr,0
227,0,0,m,S,2,19.0,adolecent,Mr,1
228,0,0,m,S,3,20.5,young_adult,Mr,0
229,0,0,m,S,2,18.0,adolecent,Mr,0
230,1,3,f,S,3,,age_unknown,Miss,0
231,0,1,f,S,1,35.0,adult,Mrs,1
232,0,0,m,S,3,29.0,young_adult,Mr,0
233,0,0,m,S,2,59.0,middle_aged,Mr,0
234,2,4,f,S,3,5.0,child,Miss,1
235,0,0,m,S,2,24.0,young_adult,Mr,0
236,0,0,f,S,3,,age_unknown,Miss,0
237,0,1,m,S,2,44.0,middle_aged,Mr,0
238,2,0,f,S,2,8.0,child,Miss,1
239,0,0,m,S,2,19.0,adolecent,Mr,0
240,0,0,m,S,2,33.0,adult,Mr,0
241,0,1,f,C,3,,age_unknown,Miss,0
242,0,1,f,Q,3,,age_unknown,Miss,1
243,0,0,m,S,2,29.0,young_adult,Mr,0
244,0,0,m,S,3,22.0,young_adult,Mr,0
245,0,0,m,C,3,30.0,adult,Mr,0
246,0,2,m,Q,1,44.0,middle_aged,Dr,0
247,0,0,f,S,3,25.0,young_adult,Miss,0
248,2,0,f,S,2,24.0,young_adult,Mrs,1
249,1,1,m,S,1,37.0,adult,Mr,1
250,0,1,m,S,2,54.0,middle_aged,Rev,0
251,0,0,m,S,3,,age_unknown,Mr,0
252,1,1,f,S,3,29.0,young_adult,Mrs,0
253,0,0,m,S,1,62.0,early_old,Mr,0
254,0,1,m,S,3,30.0,adult,Mr,0
255,2,0,f,S,3,41.0,middle_aged,Mrs,0
256,2,0,f,C,3,29.0,young_adult,Mrs,1
257,0,0,f,C,1,,age_unknown,Mrs,1
258,0,0,f,S,1,30.0,adult,Miss,1
259,0,0,f,C,1,35.0,adult,Miss,1
260,1,0,f,S,2,50.0,middle_aged,Mrs,1
261,0,0,m,Q,3,,age_unknown,Mr,0
262,2,4,m,S,3,3.0,child,Master,1
263,1,1,m,S,1,52.0,middle_aged,Mr,0
264,0,0,m,S,1,40.0,middle_aged,Mr,0
265,0,0,f,Q,3,,age_unknown,Miss,0
266,0,0,m,S,2,36.0,adult,Mr,0
267,1,4,m,S,3,16.0,adolecent,Mr,0
268,0,1,m,S,3,25.0,young_adult,Mr,1
269,1,0,f,S,1,58.0,middle_aged,Mrs,1
270,0,0,f,S,1,35.0,adult,Miss,1
271,0,0,m,S,1,,age_unknown,Mr,0
272,0,0,m,S,3,25.0,young_adult,Mr,1
273,1,0,f,S,2,41.0,middle_aged,Mrs,1
274,1,0,m,C,1,37.0,adult,Mr,0
275,0,0,f,Q,3,,age_unknown,Miss,1
276,0,1,f,S,1,63.0,early_old,Miss,1
277,0,0,f,S,3,45.0,middle_aged,Miss,0
278,0,0,m,S,2,,age_unknown,Mr,0
279,1,4,m,Q,3,7.0,child,Master,0
280,1,1,f,S,3,35.0,adult,Mrs,1
281,0,0,m,Q,3,65.0,early_old,Mr,0
282,0,0,m,S,3,28.0,young_adult,Mr,0
283,0,0,m,S,3,16.0,adolecent,Mr,0
284,0,0,m,S,3,19.0,adolecent,Mr,1
285,0,0,m,S,1,,age_unknown,Mr,0
286,0,0,m,C,3,33.0,adult,Mr,0
287,0,0,m,S,3,30.0,adult,Mr,1
288,0,0,m,S,3,22.0,young_adult,Mr,0
289,0,0,m,S,2,42.0,middle_aged,Mr,1
290,0,0,f,Q,3,22.0,young_adult,Miss,1
291,0,0,f,S,1,26.0,young_adult,Miss,1
292,0,1,f,C,1,19.0,adolecent,Mrs,1
293,0,0,m,C,2,36.0,adult,Mr,0
294,0,0,f,S,3,24.0,young_adult,Miss,0
295,0,0,m,S,3,24.0,young_adult,Mr,0
296,0,0,m,C,1,,age_unknown,Mr,0
297,0,0,m,C,3,23.5,young_adult,Mr,0
298,2,1,f,S,1,2.0,child,Miss,0
299,0,0,m,S,1,,age_unknown,Mr,1
300,1,0,f,C,1,50.0,middle_aged,Mrs,1
301,0,0,f,Q,3,,age_unknown,Miss,1
302,0,2,m,Q,3,,age_unknown,Mr,1
303,0,0,m,S,3,19.0,adolecent,Mr,0
304,0,0,f,Q,2,,age_unknown,Miss,1
305,0,0,m,S,3,,age_unknown,Mr,0
306,2,1,m,S,1,0.92,infant,Master,1
307,0,0,f,C,1,,age_unknown,Miss,1
308,0,1,f,C,1,17.0,adolecent,Mrs,1
309,0,1,m,C,2,30.0,adult,Mr,0
310,0,0,f,C,1,30.0,adult,Miss,1
311,0,0,f,C,1,24.0,young_adult,Miss,1
312,2,2,f,C,1,18.0,adolecent,Miss,1
313,1,1,f,S,2,26.0,young_adult,Mrs,0
314,0,0,m,S,3,28.0,young_adult,Mr,0
315,1,1,m,S,2,43.0,middle_aged,Mr,0
316,0,0,f,S,3,26.0,young_adult,Miss,1
317,0,1,f,S,2,24.0,young_adult,Mrs,1
318,0,0,m,S,2,54.0,middle_aged,Dr,0
319,2,0,f,S,1,31.0,adult,Miss,1
320,1,1,f,C,1,40.0,middle_aged,Mrs,1
321,0,0,m,S,3,22.0,young_adult,Mr,0
322,0,0,m,S,3,27.0,young_adult,Mr,0
323,0,0,f,Q,2,30.0,adult,Miss,1
324,1,1,f,S,2,22.0,young_adult,Mrs,1
325,2,8,m,S,3,,age_unknown,Mr,0
326,0,0,f,C,1,36.0,adult,Miss,1
327,0,0,m,S,3,61.0,early_old,Mr,0
328,0,0,f,S,2,36.0,adult,Mrs,1
329,1,1,f,S,3,31.0,adult,Mrs,1
330,1,0,f,C,1,16.0,adolecent,Miss,1
331,0,2,f,Q,3,,age_unknown,Miss,1
332,0,0,m,S,1,45.5,middle_aged,Mr,0
333,1,0,m,S,1,38.0,adult,Mr,0
334,0,2,m,S,3,16.0,adolecent,Mr,0
335,0,1,f,S,1,,age_unknown,Mrs,1
336,0,0,m,S,3,,age_unknown,Mr,0
337,0,1,m,S,1,29.0,young_adult,Mr,0
338,0,0,f,C,1,41.0,middle_aged,Miss,1
339,0,0,m,S,3,45.0,middle_aged,Mr,1
340,0,0,m,S,1,45.0,middle_aged,Mr,0
341,1,1,m,S,2,2.0,child,Master,1
342,2,3,f,S,1,24.0,young_adult,Miss,1
343,0,0,m,S,2,28.0,young_adult,Mr,0
344,0,0,m,S,2,25.0,young_adult,Mr,0
345,0,0,m,S,2,36.0,adult,Mr,0
346,0,0,f,S,2,24.0,young_adult,Miss,1
347,0,0,f,S,2,40.0,middle_aged,Miss,1
348,0,1,f,S,3,,age_unknown,Mrs,1
349,1,1,m,S,3,3.0,child,Master,1
350,0,0,m,S,3,42.0,middle_aged,Mr,0
351,0,0,m,S,3,23.0,young_adult,Mr,0
352,0,0,m,S,1,,age_unknown,Mr,0
353,1,1,m,C,3,15.0,adolecent,Mr,0
354,0,1,m,S,3,25.0,young_adult,Mr,0
355,0,0,m,C,3,,age_unknown,Mr,0
356,0,0,m,S,3,28.0,young_adult,Mr,0
357,1,0,f,S,1,22.0,young_adult,Miss,1
358,0,0,f,S,2,38.0,adult,Miss,0
359,0,0,f,Q,3,,age_unknown,Miss,1
360,0,0,f,Q,3,,age_unknown,Miss,1
361,4,1,m,S,3,40.0,middle_aged,Mr,0
362,0,1,m,C,2,29.0,young_adult,Mr,0
363,1,0,f,C,3,45.0,middle_aged,Mrs,0
364,0,0,m,S,3,35.0,adult,Mr,0
365,0,1,m,Q,3,,age_unknown,Mr,0
366,0,0,m,S,3,30.0,adult,Mr,0
367,0,1,f,C,1,60.0,early_old,Mrs,1
368,0,0,f,C,3,,age_unknown,Mrs,1
369,0,0,f,Q,3,,age_unknown,Miss,1
370,0,0,f,C,1,24.0,young_adult,Mme,1
371,0,1,m,C,1,25.0,young_adult,Mr,1
372,0,1,m,S,3,18.0,adolecent,Mr,0
373,0,0,m,S,3,19.0,adolecent,Mr,0
374,0,0,m,C,1,22.0,young_adult,Mr,0
375,1,3,f,S,3,3.0,child,Miss,0
376,0,1,f,C,1,,age_unknown,Mrs,1
377,0,0,f,S,3,22.0,young_adult,Miss,1
378,2,0,m,C,1,27.0,young_adult,Mr,0
379,0,0,m,C,3,20.0,young_adult,Mr,0
380,0,0,m,S,3,19.0,adolecent,Mr,0
381,0,0,f,C,1,42.0,middle_aged,Miss,1
382,2,0,f,C,3,1.0,infant,Miss,1
383,0,0,m,S,3,32.0,adult,Mr,0
384,0,1,f,S,1,35.0,adult,Mrs,1
385,0,0,m,S,3,,age_unknown,Mr,0
386,0,0,m,S,2,18.0,adolecent,Mr,0
387,2,5,m,S,3,1.0,infant,Master,0
388,0,0,f,S,2,36.0,adult,Miss,1
389,0,0,m,Q,3,,age_unknown,Mr,0
390,0,0,f,C,2,17.0,adolecent,Miss,1
391,2,1,m,S,1,36.0,adult,Mr,1
392,0,0,m,S,3,21.0,young_adult,Mr,1
393,0,2,m,S,3,28.0,young_adult,Mr,0
394,0,1,f,C,1,23.0,young_adult,Miss,1
395,2,0,f,S,3,24.0,young_adult,Mrs,1
396,0,0,m,S,3,22.0,young_adult,Mr,0
397,0,0,f,S,3,31.0,adult,Miss,0
398,0,0,m,S,2,46.0,middle_aged,Mr,0
399,0,0,m,S,2,23.0,young_adult,Dr,0
400,0,0,f,S,2,28.0,young_adult,Mrs,1
401,0,0,m,S,3,39.0,adult,Mr,1
402,0,0,m,S,3,26.0,young_adult,Mr,0
403,0,1,f,S,3,21.0,young_adult,Miss,0
404,0,1,m,S,3,28.0,young_adult,Mr,0
405,0,0,f,S,3,20.0,young_adult,Miss,0
406,0,1,m,S,2,34.0,adult,Mr,0
407,0,0,m,S,3,51.0,middle_aged,Mr,0
408,1,1,m,S,2,3.0,child,Master,1
409,0,0,m,S,3,21.0,young_adult,Mr,0
410,1,3,f,S,3,,age_unknown,Miss,0
411,0,0,m,S,3,,age_unknown,Mr,0
412,0,0,m,Q,3,,age_unknown,Mr,0
413,0,1,f,Q,1,33.0,adult,Miss,1
414,0,0,m,S,2,,age_unknown,Mr,0
415,0,0,m,S,3,44.0,middle_aged,Mr,1
416,0,0,f,S,3,,age_unknown,Mrs,0
417,1,1,f,S,2,34.0,adult,Mrs,1
418,2,0,f,S,2,18.0,adolecent,Miss,1
419,0,0,m,S,2,30.0,adult,Mr,0
420,2,0,f,S,3,10.0,adolecent,Miss,0
421,0,0,m,C,3,,age_unknown,Mr,0
422,0,0,m,Q,3,21.0,young_adult,Mr,0
423,0,0,m,S,3,29.0,young_adult,Mr,0
424,1,1,f,S,3,28.0,young_adult,Mrs,0
425,1,1,m,S,3,18.0,adolecent,Mr,0
426,0,0,m,S,3,,age_unknown,Mr,0
427,0,1,f,S,2,28.0,young_adult,Mrs,1
428,0,0,f,S,2,19.0,adolecent,Miss,1
429,0,0,m,Q,3,,age_unknown,Mr,0
430,0,0,m,S,3,32.0,adult,Mr,1
431,0,0,m,S,1,28.0,young_adult,Mr,1
432,0,1,f,S,3,,age_unknown,Mrs,1
433,0,1,f,S,2,42.0,middle_aged,Mrs,1
434,0,0,m,S,3,17.0,adolecent,Mr,0
435,0,1,m,S,1,50.0,middle_aged,Mr,0
436,2,1,f,S,1,14.0,adolecent,Miss,1
437,2,2,f,S,3,21.0,young_adult,Miss,0
438,3,2,f,S,2,24.0,young_adult,Mrs,1
439,4,1,m,S,1,64.0,early_old,Mr,0
440,0,0,m,S,2,31.0,adult,Mr,0
441,1,1,f,S,2,45.0,middle_aged,Mrs,1
442,0,0,m,S,3,20.0,young_adult,Mr,0
443,0,1,m,S,3,25.0,young_adult,Mr,0
